Time,Sample#,Type,Sub,Chan,Num,Aux,Duration
[21:39:35.000],575,"""",0,0,0,Arousal,0:06.3
[21:40:02.000],602,"""",0,0,0,Arousal,0:27.8
[21:50:00.000],1200,"""",0,0,0,Arousal,0:17.1
[21:53:50.000],1430,"""",0,0,0,Arousal,0:06.4
[21:54:15.000],1455,"""",0,0,0,Arousal,0:04.2
[21:54:38.000],1478,"""",0,0,0,Arousal,0:08.7
[21:54:58.000],1498,"""",0,0,0,Arousal,0:16.3
[21:58:45.000],1725,"""",0,0,0,Arousal,0:14.9
[21:59:29.000],1769,"""",0,0,0,Arousal,0:13.8
[22:02:23.000],1943,"""",0,0,0,Arousal,0:21.1
[22:38:09.000],4089,"""",0,0,0,Arousal,0:03.2
[22:39:59.000],4199,"""",0,0,0,Arousal,0:11.1
[22:41:25.000],4285,"""",0,0,0,Arousal,0:06.2
[22:42:33.000],4353,"""",0,0,0,Arousal,0:05.6
[22:45:07.000],4507,"""",0,0,0,Arousal,0:04.5
[23:24:23.000],6863,"""",0,0,0,Arousal,0:07.8
[23:25:40.000],6940,"""",0,0,0,Arousal,0:04.3
[23:28:39.000],7119,"""",0,0,0,Arousal,0:03.3
[23:30:54.000],7254,"""",0,0,0,Arousal,0:04.0
[23:31:35.000],7295,"""",0,0,0,Arousal,0:10.0
[23:32:35.000],7355,"""",0,0,0,Arousal,0:07.0
[23:33:14.000],7394,"""",0,0,0,Arousal,0:04.3
[23:34:55.000],7495,"""",0,0,0,Arousal,0:13.0
[23:35:31.000],7531,"""",0,0,0,Arousal,0:07.3
[23:36:33.000],7593,"""",0,0,0,Arousal,0:07.2
[23:38:55.000],7735,"""",0,0,0,Arousal,0:11.8
[23:40:28.000],7828,"""",0,0,0,Arousal,0:03.1
[23:41:51.000],7911,"""",0,0,0,Arousal,0:04.2
[23:54:45.000],8685,"""",0,0,0,Arousal,0:04.7
[00:15:23.000,9923,"""",0,0,0,Arousal,0:14.9
[00:34:30.000,11070,"""",0,0,0,Arousal,0:08.3
[00:55:03.000,12303,"""",0,0,0,Arousal,0:17.5
