Time,Sample#,Type,Sub,Chan,Num,Aux
[21:30:30.000],30,"""",0,0,0,W
[21:31:00.000],60,"""",0,0,0,W
[21:31:30.000],90,"""",0,0,0,W
[21:32:00.000],120,"""",0,0,0,W
[21:32:30.000],150,"""",0,0,0,W
[21:33:00.000],180,"""",0,0,0,W
[21:33:30.000],210,"""",0,0,0,W
[21:34:00.000],240,"""",0,0,0,W
[21:34:30.000],270,"""",0,0,0,W
[21:35:00.000],300,"""",0,0,0,W
[21:35:30.000],330,"""",0,0,0,W
[21:36:00.000],360,"""",0,0,0,W
[21:36:30.000],390,"""",0,0,0,W
[21:37:00.000],420,"""",0,0,0,W
[21:37:30.000],450,"""",0,0,0,W
[21:38:00.000],480,"""",0,0,0,W
[21:38:30.000],510,"""",0,0,0,W
[21:39:00.000],540,"""",0,0,0,1
[21:39:30.000],570,"""",0,0,0,2
[21:40:00.000],600,"""",0,0,0,W
[21:40:30.000],630,"""",0,0,0,W
[21:41:00.000],660,"""",0,0,0,W
[21:41:30.000],690,"""",0,0,0,W
[21:42:00.000],720,"""",0,0,0,W
[21:42:30.000],750,"""",0,0,0,W
[21:43:00.000],780,"""",0,0,0,W
[21:43:30.000],810,"""",0,0,0,W
[21:44:00.000],840,"""",0,0,0,W
[21:44:30.000],870,"""",0,0,0,W
[21:45:00.000],900,"""",0,0,0,W
[21:45:30.000],930,"""",0,0,0,W
[21:46:00.000],960,"""",0,0,0,W
[21:46:30.000],990,"""",0,0,0,W
[21:47:00.000],1020,"""",0,0,0,W
[21:47:30.000],1050,"""",0,0,0,W
[21:48:00.000],1080,"""",0,0,0,W
[21:48:30.000],1110,"""",0,0,0,W
[21:49:00.000],1140,"""",0,0,0,W
[21:49:30.000],1170,"""",0,0,0,2
[21:50:00.000],1200,"""",0,0,0,W
[21:50:30.000],1230,"""",0,0,0,W
[21:51:00.000],1260,"""",0,0,0,W
[21:51:30.000],1290,"""",0,0,0,W
[21:52:00.000],1320,"""",0,0,0,W
[21:52:30.000],1350,"""",0,0,0,W
[21:53:00.000],1380,"""",0,0,0,W
[21:53:30.000],1410,"""",0,0,0,1
[21:54:00.000],1440,"""",0,0,0,1
[21:54:30.000],1470,"""",0,0,0,1
[21:55:00.000],1500,"""",0,0,0,W
[21:55:30.000],1530,"""",0,0,0,W
[21:56:00.000],1560,"""",0,0,0,W
[21:56:30.000],1590,"""",0,0,0,W
[21:57:00.000],1620,"""",0,0,0,W
[21:57:30.000],1650,"""",0,0,0,W
[21:58:00.000],1680,"""",0,0,0,1
[21:58:30.000],1710,"""",0,0,0,2
[21:59:00.000],1740,"""",0,0,0,2
[21:59:30.000],1770,"""",0,0,0,2
[22:00:00.000],1800,"""",0,0,0,2
[22:00:30.000],1830,"""",0,0,0,2
[22:01:00.000],1860,"""",0,0,0,2
[22:01:30.000],1890,"""",0,0,0,2
[22:02:00.000],1920,"""",0,0,0,2
[22:02:30.000],1950,"""",0,0,0,W
[22:03:00.000],1980,"""",0,0,0,W
[22:03:30.000],2010,"""",0,0,0,W
[22:04:00.000],2040,"""",0,0,0,W
[22:04:30.000],2070,"""",0,0,0,W
[22:05:00.000],2100,"""",0,0,0,W
[22:05:30.000],2130,"""",0,0,0,W
[22:06:00.000],2160,"""",0,0,0,W
[22:06:30.000],2190,"""",0,0,0,W
[22:07:00.000],2220,"""",0,0,0,W
[22:07:30.000],2250,"""",0,0,0,W
